Date,DateTime,Rate,From,To
2016-11-22,2016-11-22 16:00:00,6170.579163590521,EUR,PYG
2016-11-23,2016-11-23 16:00:00,6168.363557267386,EUR,PYG
2016-11-24,2016-11-24 16:00:00,6151.921433874964,EUR,PYG
2016-11-25,2016-11-25 16:00:00,6135.536840069341,EUR,PYG
2016-11-26,2016-11-26 16:00:00,6166.026375537889,EUR,PYG
2016-11-27,2016-11-27 16:00:00,6165.779372756698,EUR,PYG
2016-11-28,2016-11-28 16:00:00,6175.457633594153,EUR,PYG
2016-11-29,2016-11-29 16:00:00,6154.358899803866,EUR,PYG
2016-11-30,2016-11-30 16:00:00,6200.181558423111,EUR,PYG
2016-12-01,2016-12-01 16:00:00,6174.816339031078,EUR,PYG
2016-12-02,2016-12-02 16:00:00,6219.525225902064,EUR,PYG
2016-12-03,2016-12-03 16:00:00,6225.654549299042,EUR,PYG
2016-12-04,2016-12-04 16:00:00,6225.853202191332,EUR,PYG
2016-12-05,2016-12-05 16:00:00,6173.064689664637,EUR,PYG
2016-12-06,2016-12-06 16:00:00,6256.0659776413495,EUR,PYG
2016-12-07,2016-12-07 16:00:00,6268.173403726908,EUR,PYG
2016-12-08,2016-12-08 16:00:00,6291.2273141050055,EUR,PYG
2016-12-09,2016-12-09 16:00:00,6175.161277290109,EUR,PYG
2016-12-10,2016-12-10 16:00:00,6152.78113395523,EUR,PYG
2016-12-11,2016-12-11 16:00:00,6153.688846914261,EUR,PYG
2016-12-12,2016-12-12 16:00:00,6136.915464021796,EUR,PYG
2016-12-13,2016-12-13 16:00:00,6168.729367631819,EUR,PYG
2016-12-14,2016-12-14 16:00:00,6160.537919796237,EUR,PYG
